"iso_a3","country_name","centroid_lon","centroid_lat","study_count","gdp_year","gdp_current_usd"
"CHN","China",103.378049926917,36.6914067431831,1600,2024,18743803170827.2
"USA","United States",-103.629562816976,44.743731596937,909,2024,28750956130731.2
"IND","India",79.5639109452937,22.7766431765647,709,2024,3909891533858.08
"IND","Siachen Glacier",77.1801788754635,35.3924156787936,709,2024,3909891533858.08
"BRA","Brazil",-53.2157339216592,-10.6390487664627,508,2024,2185821648943.86
"CAN","Canada",-96.5486267196115,60.4177669836648,225,2024,2243636826633.76
"AUS","Ashmore and Cartier Is.",123.583837826207,-12.4299318411417,223,2024,1757022451652.83
"AUS","Australia",134.303829130178,-25.7641815536472,223,2024,1757022451652.83
"IDN","Indonesia",117.179730380946,-2.26406783400371,213,2024,1396300098190.97
"ITA","Italy",12.2010490785751,42.715684218698,206,2024,2380825077243.59
"NER","Niger",9.33161006984645,17.4120079568521,198,2024,19876128485.7857
"EGY","Egypt",29.8782696549861,26.4598028985904,177,2024,389059911003.566
"THA","Thailand",101.00064850264,15.0825849558476,176,2024,526517658841.684
"KOR","Korea",127.834771144178,36.3733672310237,174,2024,1875388209406.8
"ESP","Spain",-3.70353622836341,40.207654001437,161,2024,1725671652742.19
"NZL","New Zealand",172.921343851446,-41.7023337343558,160,2024,260172385097.616
"ARG","Argentina",-64.7626148959144,-34.6839876700152,148,2024,638365455340.04
"JPN","Japan",137.660006270752,37.4608804770672,147,2024,4027597523550.58
"IRN","Iran",54.44087595747,32.5273358185792,136,2024,475252089215.416
"MEX","Mexico",-102.170985309285,23.9241551716911,133,2024,1856365616165.94
"ZAF","South Africa",25.1934382246982,-28.9742085192937,117,2024,401144998373.585
"DEU","Germany",10.3643715937789,51.0505772002016,113,2024,4685592577804.69
"POL","Poland",19.4197062974278,52.111835614271,105,2024,917767106146.761
"PAK","Pakistan",69.1684395577689,29.8839453512329,85,2024,371570000121.266
"GBR","Indian Ocean Ter.",104.862857470962,-10.65715422696,82,2024,3686033044482.13
"MYS","Malaysia",109.699342974294,3.81114043138937,82,2024,422227005428.688
