id,plant_parts_detected,parts_count,parts_normalized
15726,mycorrhizal; root; tuber; root tip; mycorrhizal structure; mycorrhizal structures,6,mycorrhizal; root; tuber; root tip; mycorrhizal structure; mycorrhizal structures
15728,NA,0,NA
15729,style,1,style
15730,wood; stoma; style,3,wood; stoma; style
15731,NA,0,NA
15732,leaf,1,leaf
15733,root,1,root
15734,corm,1,corm
15735,NA,0,NA
15736,seed,1,seed
15737,seed; shoot; root,3,seed; shoot; root
15738,leaf,1,leaf
15739,root; shoot; leaf; fruit,4,root; shoot; leaf; fruit
15740,root,1,root
15741,NA,0,NA
15742,fruit,1,fruit
15743,NA,0,NA
15744,seed; leaf; lesion,3,seed; leaf; lesion
15745,stem; root,2,stem; root
15746,spike,1,spike
15747,NA,0,NA
15748,taproot; lateral root; root; pith; style,5,taproot; lateral root; root; pith; style
15750,canker,1,canker
15751,seed,1,seed
15752,NA,0,NA
15753,root,1,root
15754,NA,0,NA
15755,seed; root; stem; leaf,4,seed; root; stem; leaf
15756,leaf; stem; root,3,leaf; stem; root
15757,root; seed,2,root; seed
15758,stem; inflorescence,2,stem; inflorescence
15759,fruit; leaf; stem; bark,4,fruit; leaf; stem; bark
15760,NA,0,NA
15761,cell wall,1,cell wall
15762,root; root nodule,2,root; root nodule
15763,flower; root; seed; leaf; stem,5,flower; root; seed; leaf; stem
15764,mycorrhizal; proliferation,2,mycorrhizal; proliferation
15765,seed; leaf; fruit; root; stomatal; mycorrhizal; stoma,7,seed; leaf; fruit; root; stomatal; mycorrhizal; stoma
15766,root; meristem,2,root; meristem
15767,NA,0,NA
15768,NA,0,NA
15769,mycorrhizal; root; mycorrhiza,3,mycorrhizal; root; mycorrhiza
15771,mycorrhizal,1,mycorrhizal
15772,NA,0,NA
15773,ray; tumor,2,ray; tumor
15774,NA,0,NA
15775,NA,0,NA
15776,NA,0,NA
15777,NA,0,NA
15778,scale,1,scale
15779,leaf; ray,2,leaf; ray
15780,mycorrhizal; root,2,mycorrhizal; root
15781,NA,0,NA
15782,root; tuber,2,root; tuber
15783,proliferation,1,proliferation
15785,style,1,style
15786,leaf; style,2,leaf; style
15787,leaf,1,leaf
15788,leaf,1,leaf
15789,seed,1,seed
15791,wood,1,wood
