id,plant_parts_detected,parts_count,parts_normalized
2,NA,0,NA
3,mycorrhizal; mycorrhiza; root,3,mycorrhizal; mycorrhiza; root
4,inflorescence; tuber,2,inflorescence; tuber
5,leaf; petal; vascular tissue; vascular tissues,4,leaf; petal; vascular tissue; vascular tissues
6,leaf,1,leaf
7,seed; coleoptile; radicle,3,seed; coleoptile; radicle
8,leaf; shoot,2,leaf; shoot
9,mycorrhizal; root,2,mycorrhizal; root
10,root; seed,2,root; seed
11,NA,0,NA
12,seed,1,seed
13,seed,1,seed
15,mycorrhizal; root,2,mycorrhizal; root
16,root; mycorrhizal; mycorrhiza,3,root; mycorrhizal; mycorrhiza
17,root,1,root
18,mycorrhiza; shoot; seed,3,mycorrhiza; shoot; seed
19,twig,1,twig
20,seed; root,2,seed; root
21,NA,0,NA
22,seed,1,seed
23,leaf; stem; intercellular space; epidermis; vascular bundle; phloem; xylem; cortex; mesophyll,9,leaf; stem; intercellular space; epidermis; vascular bundle; phloem; xylem; cortex; mesophyll
24,petiole,1,petiole
25,root,1,root
26,root; leaf; mycorrhizal,3,root; leaf; mycorrhizal
27,mycorrhizal; branch; shoot; root; leaf,5,mycorrhizal; branch; shoot; root; leaf
28,seed; scale,2,seed; scale
29,stem,1,stem
30,leaf,1,leaf
31,NA,0,NA
32,fruit,1,fruit
33,seed; capsule; root; cortex; hypocotyl; radicle,6,seed; capsule; root; cortex; hypocotyl; radicle
34,shoot,1,shoot
35,root,1,root
36,leaf,1,leaf
37,NA,0,NA
38,shoot; lesion,2,shoot; lesion
39,root; stem; leaf,3,root; stem; leaf
41,rhizome; leaf,2,rhizome; leaf
46,seed; callus; root; leaf,4,seed; callus; root; leaf
48,root,1,root
50,root; leaf,2,root; leaf
51,stem; leaf; fruit,3,stem; leaf; fruit
52,NA,0,NA
53,flower,1,flower
54,root,1,root
55,NA,0,NA
56,NA,0,NA
57,NA,0,NA
58,root; stem; leaf; seed; tumor,5,root; stem; leaf; seed; tumor
60,root,1,root
61,cortex,1,cortex
62,NA,0,NA
63,leaf; branch; fruit,3,leaf; branch; fruit
64,leaf,1,leaf
65,NA,0,NA
66,leaf; stem; root,3,leaf; stem; root
67,ray,1,ray
68,NA,0,NA
69,root; scale,2,root; scale
70,root; xylem; phloem; seed; haustorium,5,root; xylem; phloem; seed; haustorium
71,mycorrhizal; root,2,mycorrhizal; root
72,leaf,1,leaf
74,tumor,1,tumor
75,leaf; seed,2,leaf; seed
76,leaf; petiole; twig,3,leaf; petiole; twig
77,NA,0,NA
78,root; stem; leaf,3,root; stem; leaf
79,NA,0,NA
80,root,1,root
81,NA,0,NA
82,leaf; stem; root,3,leaf; stem; root
83,root; stem; leaf,3,root; stem; leaf
84,leaf,1,leaf
85,bark; stem; leaf,3,bark; stem; leaf
86,NA,0,NA
87,mycorrhizal; leaf; root,3,mycorrhizal; leaf; root
88,root,1,root
89,root; leaf,2,root; leaf
90,root; leaf,2,root; leaf
91,NA,0,NA
92,root,1,root
93,NA,0,NA
94,leaf,1,leaf
95,leaf,1,leaf
96,mycorrhizal; root,2,mycorrhizal; root
97,leaf; stem,2,leaf; stem
98,stem; crown; internode; stem internode; stem internodes,5,stem; crown; internode; stem internode; stem internodes
99,seed; root,2,seed; root
100,root; shoot,2,root; shoot
101,leaf; midrib,2,leaf; midrib
103,NA,0,NA
104,NA,0,NA
105,bark; xylem; leaf; stem,4,bark; xylem; leaf; stem
106,mycorrhizal; root,2,mycorrhizal; root
107,mycorrhizal; root; runner; shoot,4,mycorrhizal; root; runner; shoot
109,stem; root,2,stem; root
110,NA,0,NA
111,leaf; stem; root,3,leaf; stem; root
113,ray; anther,2,ray; anther
114,NA,0,NA
115,twig; scale,2,twig; scale
116,bark; wood,2,bark; wood
117,NA,0,NA
118,NA,0,NA
119,leaf; stem; root; cotyledon,4,leaf; stem; root; cotyledon
120,stem; leaf; stem bark; stem barks,4,stem; leaf; stem bark; stem barks
121,stem; fiber; root; leaf; flower,5,stem; fiber; root; leaf; flower
122,phloem,1,phloem
123,NA,0,NA
124,style,1,style
125,leaf,1,leaf
126,NA,0,NA
127,leaf; stem; petiole,3,leaf; stem; petiole
129,NA,0,NA
130,NA,0,NA
131,NA,0,NA
132,root,1,root
133,wood; leaf; stem; petiole; root; flower; fruit,7,wood; leaf; stem; petiole; root; flower; fruit
134,stem; ray,2,stem; ray
135,intercellular space; leaf; stem; seed,4,intercellular space; leaf; stem; seed
136,mycorrhizal; root,2,mycorrhizal; root
137,root; stem; leaf; seed; fruit,5,root; stem; leaf; seed; fruit
139,leaf,1,leaf
140,mycorrhizal; seed; root; anther,4,mycorrhizal; seed; root; anther
141,root; mycorrhiza,2,root; mycorrhiza
142,NA,0,NA
143,root; stem; leaf,3,root; stem; leaf
144,NA,0,NA
145,NA,0,NA
146,NA,0,NA
147,twig; leaf; lamina; midrib,4,twig; leaf; lamina; midrib
148,NA,0,NA
149,mycorrhizal; root,2,mycorrhizal; root
150,root,1,root
151,NA,0,NA
153,NA,0,NA
155,NA,0,NA
156,mycorrhizal; shoot,2,mycorrhizal; shoot
157,seed; tuber,2,seed; tuber
159,rhizome; stem; leaf,3,rhizome; stem; leaf
160,leaf,1,leaf
161,seed; root; leaf,3,seed; root; leaf
162,NA,0,NA
163,NA,0,NA
164,NA,0,NA
165,root,1,root
166,leaf; petiole; root; rhizome,4,leaf; petiole; root; rhizome
167,scale; seed; shoot; root,4,scale; seed; shoot; root
168,root; stem; leaf; tuber,4,root; stem; leaf; tuber
169,root,1,root
170,leaf; stoma; emergence; berry,4,leaf; stoma; emergence; berry
171,seed; canopy,2,seed; canopy
172,NA,0,NA
173,seed,1,seed
174,NA,0,NA
175,bark; xylem,2,bark; xylem
176,ray,1,ray
177,root; stem; leaf,3,root; stem; leaf
178,mycorrhizal; root; root tip; mycorrhizal root,4,mycorrhizal; root; root tip; mycorrhizal root
179,radicle; seed,2,radicle; seed
180,leaf; root,2,leaf; root
181,leaf,1,leaf
182,leaf,1,leaf
183,NA,0,NA
184,root,1,root
185,root; stem; leaf,3,root; stem; leaf
186,stem,1,stem
187,NA,0,NA
188,stem,1,stem
191,NA,0,NA
192,root,1,root
193,proliferation,1,proliferation
195,root; stem,2,root; stem
196,leaf; branch; stem,3,leaf; branch; stem
197,mycorrhizal; root,2,mycorrhizal; root
198,NA,0,NA
199,embryo,1,embryo
200,root,1,root
201,root; scale,2,root; scale
202,NA,0,NA
203,leaf,1,leaf
206,NA,0,NA
207,leaf,1,leaf
208,scale,1,scale
209,NA,0,NA
210,root; mycorrhizal,2,root; mycorrhizal
211,scale; root; stem; leaf,4,scale; root; stem; leaf
212,root,1,root
213,NA,0,NA
214,NA,0,NA
215,leaf,1,leaf
216,leaf,1,leaf
217,leaf,1,leaf
219,leaf; stem,2,leaf; stem
221,leaf,1,leaf
222,flower,1,flower
223,NA,0,NA
224,stem,1,stem
226,fruit,1,fruit
228,NA,0,NA
229,leaf; branch,2,leaf; branch
230,leaf,1,leaf
231,leaf; stem,2,leaf; stem
236,NA,0,NA
237,leaf,1,leaf
238,stem; leaf; root,3,stem; leaf; root
239,stem,1,stem
240,NA,0,NA
241,ray,1,ray
242,NA,0,NA
243,leaf,1,leaf
244,root,1,root
246,leaf; stoma; trichome,3,leaf; stoma; trichome
247,corm; leaf; petal; stigma,4,corm; leaf; petal; stigma
249,NA,0,NA
251,ray,1,ray
252,tumor; bark; phloem; cambium,4,tumor; bark; phloem; cambium
253,NA,0,NA
254,NA,0,NA
255,branch,1,branch
257,leaf; midrib,2,leaf; midrib
258,leaf; berry,2,leaf; berry
259,root; leaf,2,root; leaf
260,mycorrhizal; leaf; stem; root,4,mycorrhizal; leaf; stem; root
261,NA,0,NA
262,NA,0,NA
264,seed,1,seed
265,root; shoot,2,root; shoot
266,ray; proliferation,2,ray; proliferation
267,root,1,root
268,NA,0,NA
269,root; stem; leaf,3,root; stem; leaf
270,stem,1,stem
271,root,1,root
272,wood; style; cotyledon,3,wood; style; cotyledon
273,root,1,root
274,shoot; pseudobulb; root,3,shoot; pseudobulb; root
275,leaf; root,2,leaf; root
276,NA,0,NA
277,root,1,root
278,mycorrhizal; root,2,mycorrhizal; root
279,NA,0,NA
280,seed; root,2,seed; root
281,root,1,root
282,branch,1,branch
283,NA,0,NA
284,NA,0,NA
285,tumor,1,tumor
286,NA,0,NA
287,leaf,1,leaf
288,seed; root,2,seed; root
289,NA,0,NA
290,root; stem; leaf; proliferation,4,root; stem; leaf; proliferation
291,xylem; pod,2,xylem; pod
292,root; scale,2,root; scale
293,NA,0,NA
294,stem,1,stem
295,root; stem; spine,3,root; stem; spine
296,NA,0,NA
297,leaf,1,leaf
298,NA,0,NA
299,stem; ray,2,stem; ray
300,NA,0,NA
301,leaf,1,leaf
302,fruit,1,fruit
303,root; mycorrhizal; ground tissue; ground tissues,4,root; mycorrhizal; ground tissue; ground tissues
304,NA,0,NA
305,root; stem; leaf,3,root; stem; leaf
306,NA,0,NA
307,NA,0,NA
308,NA,0,NA
309,vein; proliferation,2,vein; proliferation
310,seed; root,2,seed; root
311,leaf; lamina; midrib; petiole; stem,5,leaf; lamina; midrib; petiole; stem
312,stem,1,stem
313,NA,0,NA
315,NA,0,NA
317,wood,1,wood
318,root,1,root
319,root,1,root
320,callus; stem,2,callus; stem
321,leaf; stem,2,leaf; stem
322,NA,0,NA
323,NA,0,NA
324,NA,0,NA
325,ray,1,ray
326,NA,0,NA
327,seed,1,seed
328,leaf; stem; root,3,leaf; stem; root
329,leaf,1,leaf
330,NA,0,NA
331,root; stem; leaf; bud,4,root; stem; leaf; bud
332,NA,0,NA
334,NA,0,NA
335,seed,1,seed
336,seed,1,seed
337,mycorrhizal; root; seed; fruit,4,mycorrhizal; root; seed; fruit
340,mycorrhizal; root,2,mycorrhizal; root
341,root,1,root
342,leaf; stem,2,leaf; stem
344,seed,1,seed
345,NA,0,NA
346,NA,0,NA
347,NA,0,NA
348,bark,1,bark
349,leaf,1,leaf
350,NA,0,NA
352,leaf,1,leaf
353,leaf; stem; root,3,leaf; stem; root
354,leaf; branch; haustoria,3,leaf; branch; haustoria
355,root,1,root
357,root,1,root
358,root,1,root
359,leaf,1,leaf
360,root; stem; leaf,3,root; stem; leaf
361,leaf,1,leaf
362,tumor,1,tumor
363,leaf,1,leaf
364,NA,0,NA
365,root,1,root
366,root,1,root
368,stem,1,stem
369,NA,0,NA
371,NA,0,NA
372,tumor,1,tumor
373,NA,0,NA
374,NA,0,NA
375,NA,0,NA
376,ray,1,ray
377,NA,0,NA
379,leaf,1,leaf
380,root,1,root
381,root,1,root
382,NA,0,NA
383,proliferation,1,proliferation
384,NA,0,NA
385,NA,0,NA
386,leaf; root,2,leaf; root
387,NA,0,NA
388,root,1,root
389,root; mycorrhizal; shoot,3,root; mycorrhizal; shoot
390,root,1,root
391,NA,0,NA
392,NA,0,NA
393,flower; tepal; leaf,3,flower; tepal; leaf
394,NA,0,NA
395,seed; leaf,2,seed; leaf
396,root,1,root
397,mycorrhizal; root,2,mycorrhizal; root
398,NA,0,NA
399,stem,1,stem
400,root,1,root
401,NA,0,NA
402,leaflet,1,leaflet
403,root; leaf,2,root; leaf
404,NA,0,NA
405,NA,0,NA
406,NA,0,NA
407,NA,0,NA
408,NA,0,NA
409,NA,0,NA
410,shoot; leaf; stem; root; seed,5,shoot; leaf; stem; root; seed
411,NA,0,NA
412,tumor,1,tumor
413,leaf; fruit; stem,3,leaf; fruit; stem
414,NA,0,NA
415,pseudobulb; root; stem; callus,4,pseudobulb; root; stem; callus
416,NA,0,NA
417,root,1,root
418,leaf,1,leaf
419,wood,1,wood
420,twig,1,twig
421,NA,0,NA
422,leaf,1,leaf
423,stem,1,stem
424,NA,0,NA
425,stem; leaf,2,stem; leaf
426,root,1,root
427,NA,0,NA
428,stem,1,stem
429,seed; fiber,2,seed; fiber
430,stem; ray,2,stem; ray
431,leaf; stem,2,leaf; stem
432,root; shoot; petiole; internode; leaf,5,root; shoot; petiole; internode; leaf
433,intercellular space,1,intercellular space
434,leaf,1,leaf
435,NA,0,NA
436,shoot; root,2,shoot; root
437,NA,0,NA
438,root; tumor,2,root; tumor
439,root; leaf,2,root; leaf
440,root,1,root
441,NA,0,NA
442,mycorrhizal; scale,2,mycorrhizal; scale
443,NA,0,NA
444,root,1,root
445,root,1,root
446,NA,0,NA
447,leaf; ray,2,leaf; ray
448,NA,0,NA
449,leaf; stem; internode,3,leaf; stem; internode
451,NA,0,NA
452,leaf,1,leaf
453,stem; node; rhizome; shoot; internode; stem node; stem nodes,7,stem; node; rhizome; shoot; internode; stem node; stem nodes
454,twig; foliage; leaf,3,twig; foliage; leaf
455,NA,0,NA
456,stem,1,stem
457,leaf; seed; stem; trunk; root; fruit; flower,7,leaf; seed; stem; trunk; root; fruit; flower
460,NA,0,NA
461,NA,0,NA
462,leaf,1,leaf
463,root,1,root
464,NA,0,NA
465,NA,0,NA
466,leaf; bark,2,leaf; bark
467,root; stem; leaf,3,root; stem; leaf
468,seed,1,seed
469,scale; stem; root,3,scale; stem; root
470,root,1,root
471,bark,1,bark
473,node; stem; root; leaf,4,node; stem; root; leaf
475,NA,0,NA
477,NA,0,NA
479,NA,0,NA
480,NA,0,NA
481,NA,0,NA
482,NA,0,NA
483,NA,0,NA
484,stigma,1,stigma
485,scale,1,scale
488,leaf,1,leaf
489,leaf,1,leaf
491,stem; seed; flower,3,stem; seed; flower
492,leaf,1,leaf
496,leaf,1,leaf
497,root,1,root
499,NA,0,NA
500,stem; shoot,2,stem; shoot
502,NA,0,NA
503,NA,0,NA
504,root; stem; leaf,3,root; stem; leaf
505,root,1,root
506,leaf; sheath; leaf sheath,3,leaf; sheath; leaf sheath
507,NA,0,NA
509,NA,0,NA
510,ray,1,ray
511,NA,0,NA
512,NA,0,NA
513,seed,1,seed
514,fruit; ray,2,fruit; ray
515,NA,0,NA
516,root,1,root
517,NA,0,NA
518,root,1,root
519,root; leaf; stem; stigma,4,root; leaf; stem; stigma
520,NA,0,NA
521,NA,0,NA
523,tumor,1,tumor
524,leaf; root; ground tissue; ground tissues,4,leaf; root; ground tissue; ground tissues
525,NA,0,NA
526,leaf,1,leaf
527,leaf,1,leaf
528,ray,1,ray
530,leaf; midrib; xylem; lamina; epidermis; mesophyll,6,leaf; midrib; xylem; lamina; epidermis; mesophyll
532,radicle; root; pod,3,radicle; root; pod
533,NA,0,NA
534,NA,0,NA
536,NA,0,NA
537,stem; leaf,2,stem; leaf
538,leaf,1,leaf
539,leaf; glandular trichome; trichome; leaf surface,4,leaf; glandular trichome; trichome; leaf surface
540,leaf,1,leaf
541,root,1,root
542,style,1,style
543,root,1,root
545,root,1,root
546,leaf,1,leaf
547,hair; leaf,2,hair; leaf
549,NA,0,NA
550,leaf; root,2,leaf; root
551,leaf,1,leaf
552,ray,1,ray
553,seed; panicle,2,seed; panicle
554,NA,0,NA
555,NA,0,NA
556,proliferation; scale,2,proliferation; scale
557,root,1,root
558,root,1,root
559,leaf,1,leaf
560,NA,0,NA
561,root,1,root
562,NA,0,NA
563,NA,0,NA
564,NA,0,NA
565,fibrous root; root; hair; mycorrhizal; root hair,5,fibrous root; root; hair; mycorrhizal; root hair
566,ray,1,ray
567,NA,0,NA
568,NA,0,NA
569,NA,0,NA
570,leaf,1,leaf
571,NA,0,NA
572,root; stem,2,root; stem
573,NA,0,NA
574,shoot; root,2,shoot; root
575,root,1,root
576,rhizome; mycorrhizal,2,rhizome; mycorrhizal
577,NA,0,NA
578,heartwood; root,2,heartwood; root
579,leaf; sepal; stem; seed,4,leaf; sepal; stem; seed
580,leaf,1,leaf
581,leaf,1,leaf
582,sapwood; scale; wood,3,sapwood; scale; wood
584,NA,0,NA
585,leaf,1,leaf
586,fruit,1,fruit
587,NA,0,NA
588,NA,0,NA
589,fruit; flower; leaf; berry; inflorescence,5,fruit; flower; leaf; berry; inflorescence
590,leaf,1,leaf
591,leaf,1,leaf
592,NA,0,NA
593,NA,0,NA
594,leaf; root; bark,3,leaf; root; bark
595,stem; leaf; root,3,stem; leaf; root
596,fruit; scale,2,fruit; scale
597,tuber,1,tuber
598,NA,0,NA
599,seed,1,seed
600,NA,0,NA
601,NA,0,NA
602,bark,1,bark
603,ray,1,ray
604,NA,0,NA
605,NA,0,NA
606,NA,0,NA
607,stem; leaf,2,stem; leaf
609,NA,0,NA
610,seed,1,seed
611,root; lateral root; cell wall,3,root; lateral root; cell wall
613,ray,1,ray
614,stem; bark; leaf,3,stem; bark; leaf
615,shoot; root,2,shoot; root
616,seed; root; leaf,3,seed; root; leaf
617,leaf; seed,2,leaf; seed
618,NA,0,NA
619,NA,0,NA
620,NA,0,NA
621,rhizome,1,rhizome
622,tumor; embryo,2,tumor; embryo
623,leaf; fruit,2,leaf; fruit
625,root,1,root
626,root; shoot; cell wall,3,root; shoot; cell wall
627,rhizome,1,rhizome
628,NA,0,NA
629,spine,1,spine
630,stem,1,stem
631,NA,0,NA
632,scale,1,scale
633,root,1,root
634,root; seed,2,root; seed
635,ray; root,2,ray; root
636,NA,0,NA
637,leaf,1,leaf
638,root,1,root
639,root,1,root
640,leaf,1,leaf
641,leaf,1,leaf
642,leaf,1,leaf
643,NA,0,NA
645,leaf,1,leaf
646,stem; leaf; flower; proliferation,4,stem; leaf; flower; proliferation
647,rhizome,1,rhizome
649,proliferation,1,proliferation
650,NA,0,NA
651,tumor,1,tumor
652,leaf,1,leaf
653,leaf; stem,2,leaf; stem
654,seed,1,seed
655,ray,1,ray
656,leaf; ray,2,leaf; ray
658,NA,0,NA
659,NA,0,NA
660,NA,0,NA
661,root,1,root
662,mycorrhizal; root,2,mycorrhizal; root
663,NA,0,NA
664,NA,0,NA
665,stem,1,stem
666,NA,0,NA
667,NA,0,NA
668,leaf,1,leaf
670,twig; fruit; stem,3,twig; fruit; stem
671,NA,0,NA
672,leaf; stomatal; root; stoma,4,leaf; stomatal; root; stoma
673,NA,0,NA
674,leaf; ray,2,leaf; ray
675,wood,1,wood
676,NA,0,NA
677,leaf,1,leaf
678,leaf; wood,2,leaf; wood
679,leaf; stem; root,3,leaf; stem; root
680,stem; leaf; root,3,stem; leaf; root
681,NA,0,NA
684,leaf,1,leaf
685,root,1,root
686,fruit,1,fruit
687,leaf,1,leaf
688,fruit,1,fruit
689,NA,0,NA
690,leaf,1,leaf
691,ray,1,ray
692,stem; seed; root; leaf; flower,5,stem; seed; root; leaf; flower
693,crown,1,crown
694,root; stem; leaf; branch,4,root; stem; leaf; branch
695,root,1,root
696,inflorescence; seed,2,inflorescence; seed
697,seed,1,seed
699,NA,0,NA
700,wood; xylem; ray; phloem; vessel; xylem vessel; xylem vessels,7,wood; xylem; ray; phloem; vessel; xylem vessel; xylem vessels
701,NA,0,NA
702,root,1,root
703,NA,0,NA
704,leaf; stem; root,3,leaf; stem; root
705,NA,0,NA
707,bulb,1,bulb
709,NA,0,NA
710,NA,0,NA
711,root,1,root
712,NA,0,NA
714,leaf,1,leaf
715,leaf; stem; bark,3,leaf; stem; bark
716,seed,1,seed
717,leaf; tumor,2,leaf; tumor
718,leaf,1,leaf
719,branch; leaf,2,branch; leaf
720,mycorrhizal; root,2,mycorrhizal; root
721,crown,1,crown
722,root; mycorrhizal; mycorrhiza; sporangium; mycorrhizal root,5,root; mycorrhizal; mycorrhiza; sporangium; mycorrhizal root
723,root,1,root
724,root; seed,2,root; seed
725,inflorescence; seed; cell wall; stem; phloem,5,inflorescence; seed; cell wall; stem; phloem
726,NA,0,NA
727,root,1,root
728,NA,0,NA
729,leaf,1,leaf
730,root,1,root
731,scale,1,scale
735,wood; stem; style,3,wood; stem; style
736,scale; leaf,2,scale; leaf
737,mycorrhizal; root; foliage; mycorrhiza,4,mycorrhizal; root; foliage; mycorrhiza
738,NA,0,NA
739,NA,0,NA
740,leaf; seed,2,leaf; seed
742,NA,0,NA
743,NA,0,NA
744,NA,0,NA
745,NA,0,NA
746,stem; leaf,2,stem; leaf
747,root,1,root
748,mycorrhizal; mycorrhiza; root,3,mycorrhizal; mycorrhiza; root
749,bud; bark; phloem; ray; wood; branch,6,bud; bark; phloem; ray; wood; branch
750,root; branch,2,root; branch
751,root,1,root
752,root; cell wall,2,root; cell wall
753,mycorrhizal; mycorrhiza,2,mycorrhizal; mycorrhiza
754,mycorrhizal; mycorrhiza; root,3,mycorrhizal; mycorrhiza; root
756,NA,0,NA
757,scale,1,scale
758,NA,0,NA
759,twig; branch,2,twig; branch
760,root; mycorrhizal; root nodule,3,root; mycorrhizal; root nodule
761,root; mycorrhizal; mycorrhizal root,3,root; mycorrhizal; mycorrhizal root
762,NA,0,NA
763,NA,0,NA
764,corm,1,corm
765,seed; shoot; root; hair; root hair,5,seed; shoot; root; hair; root hair
766,mycorrhizal; root; shoot,3,mycorrhizal; root; shoot
767,NA,0,NA
768,root; shoot,2,root; shoot
769,mycorrhizal,1,mycorrhizal
770,NA,0,NA
771,NA,0,NA
772,trunk; root; intercellular space; mycorrhiza; placenta; root nodule,6,trunk; root; intercellular space; mycorrhiza; placenta; root nodule
773,NA,0,NA
774,root; mycorrhizal; mycorrhiza; hair,4,root; mycorrhizal; mycorrhiza; hair
775,scale,1,scale
776,root,1,root
777,twig; bark; leaf; proliferation,4,twig; bark; leaf; proliferation
778,root; hair; mycorrhizal,3,root; hair; mycorrhizal
779,NA,0,NA
780,seed,1,seed
781,wood; mycorrhizal; leaf,3,wood; mycorrhizal; leaf
782,shoot; root,2,shoot; root
783,shoot; root,2,shoot; root
785,root; mycorrhizal,2,root; mycorrhizal
786,NA,0,NA
787,root,1,root
788,seed,1,seed
789,root,1,root
790,NA,0,NA
791,root; stem; leaf; shoot; flower,5,root; stem; leaf; shoot; flower
793,leaf; seed; hilum; hypocotyl; shoot; apical meristem; glandular trichome; leaf surface; leaf surfaces,9,leaf; seed; hilum; hypocotyl; shoot; apical meristem; glandular trichome; leaf surface; leaf surfaces
794,NA,0,NA
796,root; mycorrhizal,2,root; mycorrhizal
797,root,1,root
799,leaf,1,leaf
800,root,1,root
801,root,1,root
802,mycorrhizal; fruit; cotyledon,3,mycorrhizal; fruit; cotyledon
803,root,1,root
804,stem; leaf,2,stem; leaf
805,leaf,1,leaf
806,root; ground tissue; ground tissues,3,root; ground tissue; ground tissues
807,NA,0,NA
808,NA,0,NA
809,leaf; lateral root,2,leaf; lateral root
810,root; mycorrhizal,2,root; mycorrhizal
811,root,1,root
812,mycorrhizal; root,2,mycorrhizal; root
813,root,1,root
814,root,1,root
815,cell wall,1,cell wall
816,mycorrhizal,1,mycorrhizal
817,mycorrhizal; root; scale,3,mycorrhizal; root; scale
818,canker; wood; twig,3,canker; wood; twig
821,root; mycorrhizal; mycorrhiza,3,root; mycorrhizal; mycorrhiza
822,root; shoot,2,root; shoot
823,NA,0,NA
824,mycorrhizal; root,2,mycorrhizal; root
825,root; mycorrhizal,2,root; mycorrhizal
826,ray; cell wall,2,ray; cell wall
827,taproot,1,taproot
828,scale,1,scale
829,NA,0,NA
830,leaf,1,leaf
831,root; stem,2,root; stem
832,root; mycorrhizal; hair; root hair,4,root; mycorrhizal; hair; root hair
833,root; leaf,2,root; leaf
835,root; adventitious root; mycorrhizal; stem; branch,5,root; adventitious root; mycorrhizal; stem; branch
836,mycorrhizal; root,2,mycorrhizal; root
837,seed,1,seed
838,root; mycorrhizal,2,root; mycorrhizal
839,wood,1,wood
840,seed,1,seed
841,NA,0,NA
842,mycorrhizal; seed; root,3,mycorrhizal; seed; root
843,root; mycorrhizal; tuber,3,root; mycorrhizal; tuber
844,NA,0,NA
845,root; lateral root; taproot,3,root; lateral root; taproot
846,NA,0,NA
847,root; mycorrhizal,2,root; mycorrhizal
848,seed,1,seed
849,NA,0,NA
850,NA,0,NA
851,root; leaf; radicle,3,root; leaf; radicle
852,root,1,root
853,mycorrhizal; mycorrhiza; shoot; root,4,mycorrhizal; mycorrhiza; shoot; root
854,root; mycorrhizal,2,root; mycorrhizal
855,NA,0,NA
857,NA,0,NA
858,seed; leaf; spike,3,seed; leaf; spike
860,bud; callus,2,bud; callus
861,foliage; gall,2,foliage; gall
862,seed; root; shoot,3,seed; root; shoot
863,seed; embryo; endosperm,3,seed; embryo; endosperm
864,mycorrhizal; root,2,mycorrhizal; root
865,seed; flower; stem; crown,4,seed; flower; stem; crown
866,NA,0,NA
867,leaf; canopy; wood; style,4,leaf; canopy; wood; style
868,seed,1,seed
869,scale; seed,2,scale; seed
870,NA,0,NA
871,NA,0,NA
872,root; shoot,2,root; shoot
873,spike,1,spike
874,lesion; leaf,2,lesion; leaf
875,seed,1,seed
876,root,1,root
877,root; shoot; stem,3,root; shoot; stem
878,leaf; leaflet,2,leaf; leaflet
879,mycorrhizal,1,mycorrhizal
880,leaf; rhizome,2,leaf; rhizome
881,root; mycorrhizal,2,root; mycorrhizal
882,NA,0,NA
883,seed,1,seed
884,scale,1,scale
885,root; style,2,root; style
886,leaf,1,leaf
887,NA,0,NA
888,root; shoot,2,root; shoot
889,root,1,root
890,seed,1,seed
891,root; mycorrhizal; mycorrhiza; cortex,4,root; mycorrhizal; mycorrhiza; cortex
893,NA,0,NA
894,NA,0,NA
895,NA,0,NA
896,mycorrhizal; root; canopy,3,mycorrhizal; root; canopy
897,root,1,root
898,NA,0,NA
899,canopy; branch; adventitious root; root; mycorrhizal; mycorrhiza,6,canopy; branch; adventitious root; root; mycorrhizal; mycorrhiza
900,mycorrhizal; root,2,mycorrhizal; root
901,canker,1,canker
902,NA,0,NA
904,fruit; leaf,2,fruit; leaf
906,mycorrhizal; midrib,2,mycorrhizal; midrib
907,root,1,root
908,leaf; wood,2,leaf; wood
909,root,1,root
910,root; mycorrhizal root,2,root; mycorrhizal root
912,NA,0,NA
913,seed,1,seed
914,mycorrhizal; mycorrhiza; root,3,mycorrhizal; mycorrhiza; root
915,root,1,root
916,NA,0,NA
917,xylem,1,xylem
918,leaf; style,2,leaf; style
919,root; mycorrhizal,2,root; mycorrhizal
920,mycorrhizal; root; mycorrhiza,3,mycorrhizal; root; mycorrhiza
922,root; leaf; rhizome,3,root; leaf; rhizome
923,seed; root,2,seed; root
924,NA,0,NA
925,root,1,root
926,root; mycorrhizal; shoot,3,root; mycorrhizal; shoot
927,mycorrhizal; root,2,mycorrhizal; root
928,NA,0,NA
929,root; mycorrhizal,2,root; mycorrhizal
930,NA,0,NA
931,mycorrhizal; root,2,mycorrhizal; root
932,NA,0,NA
933,mycorrhizal; leaf; root,3,mycorrhizal; leaf; root
934,root; mycorrhiza; mycorrhizal; sporangium,4,root; mycorrhiza; mycorrhizal; sporangium
935,leaf,1,leaf
936,mycorrhizal; root,2,mycorrhizal; root
937,root; style,2,root; style
938,canopy; leaf; scale,3,canopy; leaf; scale
939,NA,0,NA
940,root; mycorrhizal; hair; root hair,4,root; mycorrhizal; hair; root hair
941,flower; root; shoot,3,flower; root; shoot
942,mycorrhizal; root,2,mycorrhizal; root
943,inflorescence,1,inflorescence
944,root; scale,2,root; scale
945,seed; embryo; coleoptile; plumule; radicle; coleorhiza; pericarp; ovary; endosperm,9,seed; embryo; coleoptile; plumule; radicle; coleorhiza; pericarp; ovary; endosperm
947,NA,0,NA
948,seed; leaf,2,seed; leaf
949,seed; leaf; inflorescence,3,seed; leaf; inflorescence
950,shoot; root,2,shoot; root
951,root,1,root
953,root,1,root
954,root,1,root
955,root; mycorrhizal,2,root; mycorrhizal
956,leaf,1,leaf
957,NA,0,NA
958,gall; root,2,gall; root
959,root,1,root
960,stem; root; leaf,3,stem; root; leaf
961,root; petal,2,root; petal
962,root,1,root
963,root; mycorrhizal,2,root; mycorrhizal
964,NA,0,NA
965,root; mycorrhizal; shoot,3,root; mycorrhizal; shoot
966,NA,0,NA
967,leaf,1,leaf
968,NA,0,NA
