"phylum","family"
"Tracheophyta","Juncaginaceae"
"Tracheophyta","Kirkiaceae"
"Tracheophyta","Krameriaceae"
"Tracheophyta","Lanariaceae"
"Tracheophyta","Lauraceae"
"Tracheophyta","Lennoaceae"
"Tracheophyta","Linaceae"
"Tracheophyta","Linderniaceae"
"Tracheophyta","Lindsaeaceae"
"Tracheophyta","Loganiaceae"
"Tracheophyta","Lonchitidaceae"
"Tracheophyta","Lophiocarpaceae"
"Tracheophyta","Lophopyxidaceae"
"Tracheophyta","Lowiaceae"
"Tracheophyta","Lyginopteridaceae"
"Tracheophyta","Lygodiaceae"
"Tracheophyta","Macarthuriaceae"
"Tracheophyta","Magnoliaceae"
"Tracheophyta","Malesherbiaceae"
"Tracheophyta","Malpighiaceae"
"Tracheophyta","Marantaceae"
"Tracheophyta","Marattiaceae"
"Tracheophyta","Marcgraviaceae"
"Tracheophyta","Marsileaceae"
"Tracheophyta","Martyniaceae"
"Tracheophyta","Matoniaceae"
"Tracheophyta","Mayacaceae"
"Tracheophyta","Mazaceae"
"Tracheophyta","Medusagynaceae"
"Tracheophyta","Melianthaceae"
"Tracheophyta","Menyanthaceae"
"Tracheophyta","Metaxyaceae"
"Tracheophyta","Misodendraceae"
"Tracheophyta","Mitrastemonaceae"
"Tracheophyta","Molluginaceae"
"Tracheophyta","Montiaceae"
"Tracheophyta","Montiniaceae"
"Tracheophyta","Muntingiaceae"
"Tracheophyta","Musaceae"
"Tracheophyta","Myodocarpaceae"
"Tracheophyta","Myricaceae"
"Tracheophyta","Myristicaceae"
"Tracheophyta","Myrothamnaceae"
"Tracheophyta","Namaceae"
"Tracheophyta","Nanodeaceae"
"Tracheophyta","Nartheciaceae"
"Tracheophyta","Nelumbonaceae"
"Tracheophyta","Nephrolepidaceae"
"Tracheophyta","Neuradaceae"
"Tracheophyta","Nitrariaceae"
"Tracheophyta","Nothofagaceae"
"Tracheophyta","Nymphaeaceae"
"Tracheophyta","Nyssaceae"
"Tracheophyta","Ochnaceae"
"Tracheophyta","Octoknemaceae"
"Tracheophyta","Olacaceae"
"Tracheophyta","Oleandraceae"
"Tracheophyta","Onagraceae"
"Tracheophyta","Oncothecaceae"
"Tracheophyta","Onocleaceae"
"Tracheophyta","Opiliaceae"
"Tracheophyta","Osmundaceae"
"Tracheophyta","Oxalidaceae"
"Tracheophyta","Pandanaceae"
"Tracheophyta","Paracryphiaceae"
"Tracheophyta","Passifloraceae"
"Tracheophyta","Paulowniaceae"
"Tracheophyta","Pedaliaceae"
"Tracheophyta","Penaeaceae"
"Tracheophyta","Pennantiaceae"
"Tracheophyta","Pentaphragmataceae"
"Tracheophyta","Pentaphylacaceae"
"Tracheophyta","Penthoraceae"
"Tracheophyta","Peridiscaceae"
"Tracheophyta","Petenaeaceae"
"Tracheophyta","Petrosaviaceae"
"Tracheophyta","Philesiaceae"
"Tracheophyta","Philydraceae"
"Tracheophyta","Phrymaceae"
"Tracheophyta","Phyllocladaceae"
"Tracheophyta","Phyllonomaceae"
"Tracheophyta","Physenaceae"
"Tracheophyta","Picramniaceae"
"Tracheophyta","Picrodendraceae"
"Tracheophyta","Pinaceae"
"Tracheophyta","Platanaceae"
"Tracheophyta","Podocarpaceae"
"Tracheophyta","Podostemaceae"
"Tracheophyta","Polemoniaceae"
"Tracheophyta","Pontederiaceae"
"Tracheophyta","Posidoniaceae"
"Tracheophyta","Potamogetonaceae"
"Tracheophyta","Proteaceae"
"Tracheophyta","Psilotaceae"
"Tracheophyta","Putranjivaceae"
"Tracheophyta","Quiinaceae"
"Tracheophyta","Quillajaceae"
"Tracheophyta","Rafflesiaceae"
"Tracheophyta","Rapateaceae"
"Tracheophyta","Resedaceae"
"Tracheophyta","Restionaceae"
"Tracheophyta","Rhabdodendraceae"
"Tracheophyta","Rhachidosoraceae"
"Tracheophyta","Rhamnaceae"
"Tracheophyta","Ripogonaceae"
"Tracheophyta","Roridulaceae"
"Tracheophyta","Ruppiaceae"
"Tracheophyta","Saccolomataceae"
"Tracheophyta","Salicaceae"
"Tracheophyta","Salviniaceae"
"Tracheophyta","Santalaceae"
"Tracheophyta","Sarcobataceae"
"Tracheophyta","Sarcolaenaceae"
"Tracheophyta","Scheuchzeriaceae"
"Tracheophyta","Schlegeliaceae"
"Tracheophyta","Schoepfiaceae"
"Tracheophyta","Selaginellaceae"
"Tracheophyta","Setchellanthaceae"
"Tracheophyta","Simaroubaceae"
"Tracheophyta","Simmondsiaceae"
"Tracheophyta","Siparunaceae"
"Tracheophyta","Smilacaceae"
"Tracheophyta","Sphaerosepalaceae"
"Tracheophyta","Stachyuraceae"
"Tracheophyta","Staphyleaceae"
"Tracheophyta","Stegnospermataceae"
"Tracheophyta","Stemonaceae"
"Tracheophyta","Stemonuraceae"
"Tracheophyta","Sterculiaceae"
"Tracheophyta","Stilbaceae"
"Tracheophyta","Stixaceae"
"Tracheophyta","Strasburgeriaceae"
"Tracheophyta","Strelitziaceae"
"Tracheophyta","Strombosiaceae"
"Tracheophyta","Stylidiaceae"
"Tracheophyta","Styracaceae"
"Tracheophyta","Surianaceae"
"Tracheophyta","Taccaceae"
"Tracheophyta","Talinaceae"
"Tracheophyta","Tapisciaceae"
"Tracheophyta","Taxodiaceae"
"Tracheophyta","Tecophilaeaceae"
"Tracheophyta","Tectariaceae"
"Tracheophyta","Tetracarpaeaceae"
"Tracheophyta","Tetrachondraceae"
"Tracheophyta","Tetrameristaceae"
"Tracheophyta","Thesiaceae"
"Tracheophyta","Thomandersiaceae"
"Tracheophyta","Ticodendraceae"
"Tracheophyta","Tiganophytaceae"
"Tracheophyta","Tiliaceae"
"Tracheophyta","Tofieldiaceae"
"Tracheophyta","Torricelliaceae"
"Tracheophyta","Tovariaceae"
"Tracheophyta","Trigoniaceae"
"Tracheophyta","Trimeniaceae"
"Tracheophyta","Triuridaceae"
"Tracheophyta","Trochodendraceae"
"Tracheophyta","Typhaceae"
"Tracheophyta","Ulmaceae"
"Tracheophyta","Viburnaceae"
"Tracheophyta","Vivianiaceae"
"Tracheophyta","Wellstediaceae"
"Tracheophyta","Wightiaceae"
"Tracheophyta","Winteraceae"
"Tracheophyta","Woodsiaceae"
"Tracheophyta","Xeronemataceae"
"Tracheophyta","Ximeniaceae"
"Tracheophyta","Xyridaceae"
"Tracheophyta","Zamiaceae"
