phylum,total,n_found,n_not_found
Anthocerotophyta,5,1,4
Bryophyta,141,5,136
Charophyta,23,0,23
Chlorophyta,116,11,105
Glaucophyta,1,0,1
Langiophytophyta,2,0,2
Marchantiophyta,87,8,79
Rhodophyta,121,6,115
Tracheophyta,593,220,373
