phylum,total,n_found,n_not_found
Anthocerotophyta,19,1,18
Bryophyta,1029,5,1024
Charophyta,155,0,155
Chlorophyta,730,4,726
Glaucophyta,3,0,3
Langiophytophyta,6,0,6
Marchantiophyta,421,4,417
Rhodophyta,719,4,715
Tracheophyta,15825,1049,14776
