"country_std","frequency","rank"
"Colombia",0,1
"Ethiopia",0,2
"Ghana",0,3
"Indonesia",0,4
"Kenya",0,5
"Malaysia",0,6
"Mexico",0,7
"Nigeria",0,8
"Peru",0,9
"Philippines",0,10
"Sri Lanka",0,11
"Tanzania",0,12
"Vietnam",0,13
