"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","id","predicted_label"
"Phialocephala fortinii","SPECIES",99,"EXACT","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","Phialocephala fortinii","5","95","179","1052","3297719","9539536","3484868","752","Presence"
"Humicolopsis cephalosporioides","SPECIES",99,"EXACT","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,"Humicolopsis","Humicolopsis cephalosporioides","5","95","179","1052",NA,"7486850","5257963","752","Presence"
"Coniochaeta mutabilis","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta mutabilis","5","95","320","1285","4144","2569547","8206918","752","Presence"
"Ozonium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Ozonium",NA,"5","34","186","1499","4184","2518082",NA,"209","Presence"
"Taxus chinensis","SPECIES",97,"EXACT","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus","Taxus chinensis","6","7707728","194","640","4863","2684902","8641859","209","Presence"
"Mycelium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota",NA,NA,NA,"Mycelium",NA,"5","34",NA,NA,NA,"7238668",NA,"209","Presence"
"Fusarium redolens","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium redolens","5","95","320","1290","4152","2554026","5252177","988","Presence"
"Dioscorea zingiberensis","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea","Dioscorea zingiberensis","6","7707728","196","1171","7694","2754367","2754595","988","Presence"
"Assay","GENUS",94,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"6","7707728","196","1369","3073","11123265",NA,"988","Presence"
"Rigidoporus","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus",NA,"5","34","186","1145","3288","2519063",NA,"994","Presence"
"Fusarium proliferatum","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium proliferatum","5","95","320","1290","4152","2554026","5252126","994","Presence"
"Penicillium citrinum","SPECIES",99,"EXACT","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium citrinum","5","95","178","1040","3563703","7635114","2597681","994","Presence"
"Trichoderma asperellum","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma asperellum","5","95","320","1290","8419","7703803","5251325","994","Presence"
"Chaetomium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA,"5","95","320","1061","8433","2560820",NA,"994","Presence"
"Curvularia lunata","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia lunata","5","95","183","1047","8315","2569225","2616016","994","Presence"
"Chaetomium","GENUS",92,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA,"5","95","320","1061","8433","2560820",NA,"994","Presence"
"Phomopsis","GENUS",92,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Phomopsis",NA,"5","95","320","1289","4146","2577612",NA,"516","Presence"
"Alternanthera bettzickiana","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera bettzickiana","6","7707728","220","422","3064","3084921","8189919","516","Presence"
"Huperzia serrata","SPECIES",97,"EXACT","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia serrata","6","7707728","245","421","6725","2688450","2688470","69","Presence"
"Phyla","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Phyla",NA,"6","7707728","220","408","6689","2925404",NA,"69","Presence"
"Phyla","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Phyla",NA,"6","7707728","220","408","6689","2925404",NA,"69","Presence"
