canonicalName,canonicalName_lower,kingdom,phylum,family,id,match_type,status,resolved_name,acceptedScientificName,fruit,fruits,root,roots,leaf,leaves,stem,stems,flower,flowers,seed,seeds,bark,branch,branches,twig,twigs,shoot,shoots,bud,buds,trunk,trunks,pistil,pistils,anther,anthers,carpel,carpels,sepal,sepals,petal,petals,stigma,stigmas,style,styles,ovary,ovaries,ovule,ovules,calyx,calyces,corolla,corollas,pollen,inflorescence,inflorescences,floret,florets,rhizome,rhizomes,tuber,tubers,bulb,bulbs,corm,corms,tendril,tendrils,thorn,thorns,cone,cones,needle,needles,user_supplied_name,user_supplied_name_lower,taxonID,kingdom.x,phylum.x,family.x,genus.x,synonymName,acceptedName,kingdom.y,phylum.y,family.y,genus.y,genus
Trichoderma,trichoderma,Fungi,Ascomycota,Hypocreaceae,4541,genus,ACCEPTED,Trichoderma,Trichoderma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triticum aestivum,NA,NA,NA,NA,4648,species,ACCEPTED,Triticum aestivum,Triticum aestivum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,triticum aestivum,triticum aestivum,7795888,Plantae,Tracheophyta,Poaceae,Triticum,NA,NA,Plantae,Tracheophyta,Poaceae,Triticum,NA
Puccinia striiformis,NA,NA,NA,NA,4648,species,ACCEPTED,Puccinia striiformis,Puccinia striiformis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,puccinia striiformis,puccinia striiformis,3377675,Fungi,Basidiomycota,Pucciniaceae,Puccinia,NA,NA,Fungi,Basidiomycota,Pucciniaceae,Puccinia,NA
Colletotrichum lindemuthianum,NA,NA,NA,NA,4648,species,ACCEPTED,Colletotrichum lindemuthianum,Colletotrichum lindemuthianum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colletotrichum lindemuthianum,colletotrichum lindemuthianum,2568828,Fungi,Ascomycota,Glomerellaceae,Colletotrichum,NA,NA,Fungi,Ascomycota,Glomerellaceae,Colletotrichum,NA
Trichoderma viride,NA,NA,NA,NA,4648,species,ACCEPTED,Trichoderma viride,Trichoderma viride,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trichoderma viride,trichoderma viride,5251340,Fungi,Ascomycota,Hypocreaceae,Trichoderma,NA,NA,Fungi,Ascomycota,Hypocreaceae,Trichoderma,NA
Triticum,triticum,Plantae,Tracheophyta,Poaceae,4648,genus,ACCEPTED,Triticum,Triticum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum,colletotrichum,Fungi,Ascomycota,Glomerellaceae,4648,genus,ACCEPTED,Colletotrichum,Colletotrichum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum,colletotrichum,Fungi,Ascomycota,Dermateaceae,4648,genus,ACCEPTED,Colletotrichum,Colletotrichum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoderma,trichoderma,Fungi,Ascomycota,Hypocreaceae,4648,genus,ACCEPTED,Trichoderma,Trichoderma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puccinia,puccinia,Fungi,Basidiomycota,Pucciniaceae,4648,genus,ACCEPTED,Puccinia,Puccinia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
