user_supplied_name,user_supplied_name_lower,taxonID,datasetID,parentNameUsageID,acceptedNameUsageID,originalNameUsageID,scientificName,scientificNameAuthorship,canonicalName,genericName,specificEpithet,infraspecificEpithet,taxonRank,nameAccordingTo,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,kingdom,phylum,class,order,family,genus,canonicalName_lower,resolved_name,status,acceptedScientificName,id,predicted_label,match_type,fruit,fruits,root,roots,leaf,leaves,stem,stems,flower,flowers,seed,seeds,bark,branch,branches,twig,twigs,shoot,shoots,bud,buds,trunk,trunks,pistil,pistils,anther,anthers,carpel,carpels,sepal,sepals,petal,petals,stigma,stigmas,style,styles,ovary,ovaries,ovule,ovules,calyx,calyces,corolla,corollas,pollen,inflorescence,inflorescences,floret,florets,rhizome,rhizomes,tuber,tubers,bulb,bulbs,corm,corms,tendril,tendrils,thorn,thorns,cone,cones,needle,needles
NA,NA,NA,NA,NA,NA,NA,NA,NA,Syzygium,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Myrtaceae,NA,syzygium,Syzygium,ACCEPTED,Syzygium,15474,Presence,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Talaromyces,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Aspergillaceae,NA,talaromyces,Talaromyces,ACCEPTED,Talaromyces,15474,Presence,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crocus sativus,crocus sativus,8580055,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2747303,7994270,NA,Crocus sativus Biv.,Biv.,crocus sativus,Crocus,sativus,NA,species,NA,NA,homotypic synonym,NA,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,crocus sativus,crocus sativus,ACCEPTED,crocus sativus,18685,Presence,species,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crocus sativus,crocus sativus,8580055,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2747303,7994270,NA,Crocus sativus Biv.,Biv.,Crocus sativus,Crocus,sativus,NA,species,NA,NA,homotypic synonym,NA,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,crocus sativus,Crocus sativus,ACCEPTED,Crocus sativus,18685,Presence,species,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
crocus sativus,crocus sativus,2747430,7ddf754f-d193-4cc9-b351-99906754a03b,2747303,NA,NA,Crocus sativus L.,L.,Crocus sativus,Crocus,sativus,NA,species,NA,Sp. Pl.: 36 (1753),accepted,NA,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,crocus sativus,Crocus sativus,ACCEPTED,Crocus sativus,18685,Presence,species,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crocus sativus,crocus sativus,2747430,7ddf754f-d193-4cc9-b351-99906754a03b,2747303,NA,NA,Crocus sativus L.,L.,Crocus sativus,Crocus,sativus,NA,species,NA,Sp. Pl.: 36 (1753),accepted,NA,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,crocus sativus,Crocus sativus,ACCEPTED,Crocus sativus,18685,Presence,species,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Fusarium,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Nectriaceae,NA,fusarium,Fusarium,ACCEPTED,Fusarium,18685,Presence,genus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Fusarium,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Dermateaceae,NA,fusarium,Fusarium,ACCEPTED,Fusarium,18685,Presence,genus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Verbenaceae,NA,phyla,Phyla,ACCEPTED,Phyla,18685,Presence,genus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhizopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Mucoromycota,NA,NA,Rhizopodaceae,NA,rhizopus,Rhizopus,ACCEPTED,Rhizopus,18685,Presence,genus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Crocus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Iridaceae,NA,crocus,Crocus,ACCEPTED,Crocus,18685,Presence,genus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wickerhamiella siamensis,wickerhamiella siamensis,8215536,7ddf754f-d193-4cc9-b351-99906754a03b,3480458,NA,NA,"Wickerhamiella siamensis Khunn., Suruss., Jindam. & Limtong","Khunn., Suruss., Jindam. & Limtong",Wickerhamiella siamensis,Wickerhamiella,siamensis,NA,species,NA,(2014). Int. J. Syst. Evol. Microbiol. 64(11): 3852.,accepted,NA,NA,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Wickerhamiella,wickerhamiella siamensis,Wickerhamiella siamensis,ACCEPTED,Wickerhamiella siamensis,20741,Presence,species,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Candida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Debaryomycetaceae,NA,candida,Candida,ACCEPTED,Candida,20741,Presence,genus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Wickerhamiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Trichomonascaceae,NA,wickerhamiella,Wickerhamiella,ACCEPTED,Wickerhamiella,20741,Presence,genus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Beta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Amaranthaceae,NA,beta,Beta,ACCEPTED,Beta,23420,Presence,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Cinnamomum,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Lauraceae,NA,cinnamomum,Cinnamomum,ACCEPTED,Cinnamomum,23420,Presence,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gigaspora margarita,gigaspora margarita,2560153,7ddf754f-d193-4cc9-b351-99906754a03b,2560147,NA,NA,Gigaspora margarita W.N.Becker & I.R.Hall,W.N.Becker & I.R.Hall,Gigaspora margarita,Gigaspora,margarita,NA,species,NA,(1976). Mycotaxon 4(1): 155.,accepted,NA,NA,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,gigaspora margarita,Gigaspora margarita,ACCEPTED,Gigaspora margarita,23812,Presence,species,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Gigaspora,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Glomeromycota,NA,NA,Gigasporaceae,NA,gigaspora,Gigaspora,ACCEPTED,Gigaspora,23812,Presence,genus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
