id,match_type,user_supplied_name,resolved_name,status,acceptedScientificName,kingdom,phylum,family,genus,predicted_label,canonicalName,canonicalName_lower
33,genus,NA,Atriplex,ACCEPTED,Atriplex,Plantae,Tracheophyta,Amaranthaceae,NA,Presence,Atriplex,atriplex
34,species,epichloe typhina,Epichloe typhina,ACCEPTED,Epichloe typhina,Fungi,Ascomycota,Clavicipitaceae,Epichloe,Presence,NA,NA
34,species,calamagrostis purpurea,Calamagrostis purpurea,ACCEPTED,Calamagrostis purpurea,Plantae,Tracheophyta,Poaceae,Calamagrostis,Presence,NA,NA
34,genus,NA,Calamagrostis,ACCEPTED,Calamagrostis,Plantae,Tracheophyta,Poaceae,NA,Presence,Calamagrostis,calamagrostis
34,genus,NA,Epichloe,ACCEPTED,Epichloe,Fungi,Ascomycota,Clavicipitaceae,NA,Presence,Epichloe,epichloe
35,species,carya illinoinensis,Carya illinoinensis,ACCEPTED,Carya illinoinensis,Plantae,Tracheophyta,Juglandaceae,Carya,Presence,NA,NA
35,genus,NA,Carya,ACCEPTED,Carya,Plantae,Tracheophyta,Juglandaceae,NA,Presence,Carya,carya
36,species,coffea arabica,Coffea arabica,ACCEPTED,Coffea arabica,Plantae,Tracheophyta,Rubiaceae,Coffea,Presence,NA,NA
36,species,colletotrichum gloeosporioides,Colletotrichum gloeosporioides,ACCEPTED,Colletotrichum gloeosporioides,Fungi,Ascomycota,Glomerellaceae,Colletotrichum,Presence,NA,NA
36,species,phyllosticta capitalensis,Phyllosticta capitalensis,ACCEPTED,Phyllosticta capitalensis,Fungi,Ascomycota,Phyllostictaceae,Phyllosticta,Presence,NA,NA
36,genus,NA,Coffea,ACCEPTED,Coffea,Plantae,Tracheophyta,Rubiaceae,NA,Presence,Coffea,coffea
36,genus,NA,Colletotrichum,ACCEPTED,Colletotrichum,Fungi,Ascomycota,Glomerellaceae,NA,Presence,Colletotrichum,colletotrichum
36,genus,NA,Colletotrichum,ACCEPTED,Colletotrichum,Fungi,Ascomycota,Dermateaceae,NA,Presence,Colletotrichum,colletotrichum
36,genus,NA,Phyllosticta,ACCEPTED,Phyllosticta,Fungi,Ascomycota,Phyllostictaceae,NA,Presence,Phyllosticta,phyllosticta
37,species,orchidantha chinensis,Orchidantha chinensis,ACCEPTED,Orchidantha chinensis,Plantae,Tracheophyta,Lowiaceae,Orchidantha,Presence,NA,NA
37,genus,NA,Orchidantha,ACCEPTED,Orchidantha,Plantae,Tracheophyta,Lowiaceae,NA,Presence,Orchidantha,orchidantha
38,species,pinus densiflora,Pinus densiflora,ACCEPTED,Pinus densiflora,Plantae,Tracheophyta,Pinaceae,Pinus,Presence,NA,NA
38,genus,NA,Cenangium,ACCEPTED,Cenangium,Fungi,Ascomycota,Cenangiaceae,NA,Presence,Cenangium,cenangium
38,genus,NA,Selenophoma,ACCEPTED,Selenophoma,Fungi,Ascomycota,Saccotheciaceae,NA,Presence,Selenophoma,selenophoma
38,genus,NA,Pinus,ACCEPTED,Pinus,Plantae,Tracheophyta,Pinaceae,NA,Presence,Pinus,pinus
38,genus,NA,Sphaeropsis,ACCEPTED,Sphaeropsis,Plantae,Chlorophyta,Pterospermataceae,NA,Presence,Sphaeropsis,sphaeropsis
39,species,gentiana straminea,Gentiana straminea,ACCEPTED,Gentiana straminea,Plantae,Tracheophyta,Gentianaceae,Gentiana,Presence,NA,NA
39,genus,NA,Beta,ACCEPTED,Beta,Plantae,Tracheophyta,Amaranthaceae,NA,Presence,Beta,beta
39,genus,NA,Gentiana,ACCEPTED,Gentiana,Plantae,Tracheophyta,Gentianaceae,NA,Presence,Gentiana,gentiana
41,species,camellia oleifera,Camellia oleifera,ACCEPTED,Camellia oleifera,Plantae,Tracheophyta,Theaceae,Camellia,Presence,NA,NA
41,genus,NA,Didymella,ACCEPTED,Didymella,Fungi,Ascomycota,Didymellaceae,NA,Presence,Didymella,didymella
41,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Nectriaceae,NA,Presence,Fusarium,fusarium
41,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Dermateaceae,NA,Presence,Fusarium,fusarium
41,genus,NA,Camellia,ACCEPTED,Camellia,Plantae,Tracheophyta,Theaceae,NA,Presence,Camellia,camellia
41,genus,NA,Penicillium,ACCEPTED,Penicillium,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Penicillium,penicillium
